"","group","stove_descriptions","mean_events_per_day","median_events_per_day","sd_events_per_day","mean_minutes_per_day_stove_hhid","median_minutes_per_day_stove_hhid","sd_minutes_per_day_stove_hhid","mean_event_duration","median_event_duration","sd_event_duration","households","days_logged_per_group_by_stove"
"1","AKO","CleanCook",0.734799604023261,0.777627772420444,0.40101853342373,29.8035189644735,31.6605593056895,14.7928507524071,35.0331125827815,30,24.1350139060917,3,632.951388888889
"2","AKO","Kerosene",0.603780856414904,0.729924410849266,0.257376317416513,38.9791332376584,40.3379279679858,19.1067943445915,70.2933333333333,50,50.3428813646957,3,968.513888888889
"3","AKO","LPG",0.422852815971485,0.422852815971485,NA,15.2918471184656,15.2918471184656,NA,35.6626506024096,20,32.9890141020494,1,752.034722222222
"4","MUS","CleanCook",0.650580822666317,0.601156069364162,0.331095569804326,24.9498274124353,19.7919075144509,15.7267374404356,37.6167471819646,30,39.1373261698431,9,1048.75694444444
"5","MUS","Kerosene",1.74085156229907,1.63900218154226,1.03338803959639,120.731388191763,101.439509954058,75.0206154656669,72.03125,50,61.3071481081823,9,919.479166666667
"6","SHO","CleanCook",0.820755660493108,0.812851425300705,0.20954213310522,29.095398592408,26.2055462244977,12.2698744883798,30.6083650190114,30,23.5659430156613,6,534.361111111111
"7","SHO","Kerosene",1.21318819475678,1.56994959093974,0.704563323997662,80.7523638506496,99.9154173095389,56.6261892890523,72.4380952380952,50,49.5952941565208,6,516.402777777778
"8","SHO","LPG",0.925271531822098,0.922734026745914,0.20143378836752,52.996896779176,65.3080568720379,22.4493513475385,40.0757575757576,30,33.532397735548,3,227.166666666667
