Date.Time,Unit,Value
2016-11-13 19:36:44,C,23.4
2016-11-13 19:39:44,C,23.4
2016-11-13 19:42:44,C,23.4
2016-11-13 19:45:44,C,23.4
2016-11-13 19:48:44,C,23.4
2016-11-13 19:51:44,C,23.3
2016-11-13 19:54:44,C,23.3
2016-11-13 19:57:44,C,23.3
2016-11-13 20:00:44,C,23.1
2016-11-13 20:03:44,C,23.3
2016-11-13 20:06:44,C,23.3
2016-11-13 20:09:44,C,23.2
2016-11-13 20:12:44,C,23.2
2016-11-13 20:15:44,C,24.2
2016-11-13 20:18:44,C,25.2
2016-11-13 20:21:44,C,25.9
2016-11-13 20:24:44,C,26.2
2016-11-13 20:27:44,C,26.4
2016-11-13 20:30:44,C,26.6
2016-11-13 20:33:44,C,26.7
2016-11-13 20:36:44,C,26.9
2016-11-13 20:39:44,C,27
2016-11-13 20:42:44,C,27
2016-11-13 20:45:44,C,27.1
2016-11-13 20:48:44,C,27.3
2016-11-13 20:51:44,C,27.2
2016-11-13 20:54:44,C,27.5
2016-11-13 20:57:44,C,27.5
2016-11-13 21:00:44,C,27.6
2016-11-13 21:03:44,C,28.1
2016-11-13 21:06:44,C,27.7
2016-11-13 21:09:44,C,28.3
2016-11-13 21:12:44,C,28.3
2016-11-13 21:15:44,C,27.2
2016-11-13 21:18:44,C,26.6
2016-11-13 21:21:44,C,26.6
2016-11-13 21:24:44,C,26.7
2016-11-13 21:27:44,C,26.9
2016-11-13 21:30:44,C,27.2
2016-11-13 21:33:44,C,27.4
2016-11-13 21:36:44,C,27.5
2016-11-13 21:39:44,C,27.6
2016-11-13 21:42:44,C,27.6
2016-11-13 21:45:44,C,27.7
2016-11-13 21:48:44,C,27.9
2016-11-13 21:51:44,C,27.8
2016-11-13 21:54:44,C,28
2016-11-13 21:57:44,C,28
2016-11-13 22:00:44,C,28
2016-11-13 22:03:44,C,28
2016-11-13 22:06:44,C,28
2016-11-13 22:09:44,C,28
2016-11-13 22:12:44,C,28
2016-11-13 22:15:44,C,28
2016-11-13 22:18:44,C,28
2016-11-13 22:21:44,C,28
2016-11-13 22:24:44,C,28.2
2016-11-13 22:27:44,C,28
2016-11-13 22:30:44,C,28
2016-11-13 22:33:44,C,28
2016-11-13 22:36:44,C,28.1
2016-11-13 22:39:44,C,28.1
2016-11-13 22:42:44,C,28.1
2016-11-13 22:45:44,C,28.1
2016-11-13 22:48:44,C,28.1
2016-11-13 22:51:44,C,28.1
2016-11-13 22:54:44,C,28.1
2016-11-13 22:57:44,C,28.2
2016-11-13 23:00:44,C,28.1
2016-11-13 23:03:44,C,28
2016-11-13 23:06:44,C,28.2
2016-11-13 23:09:44,C,28
2016-11-13 23:12:44,C,28.2
2016-11-13 23:15:44,C,28.2
2016-11-13 23:18:44,C,28.2
2016-11-13 23:21:44,C,28.3
2016-11-13 23:24:44,C,28.1
2016-11-13 23:27:44,C,28.1
2016-11-13 23:30:44,C,28.3
2016-11-13 23:33:44,C,28.3
2016-11-13 23:36:44,C,28.3
2016-11-13 23:39:44,C,28.4
2016-11-13 23:42:44,C,28.2
2016-11-13 23:45:44,C,28.2
2016-11-13 23:48:44,C,28.4
2016-11-13 23:51:44,C,28.2
2016-11-13 23:54:44,C,28.2
2016-11-13 23:57:44,C,28.2
2016-11-14 00:00:44,C,28.2
2016-11-14 00:03:44,C,28.3
2016-11-14 00:06:44,C,28.3
2016-11-14 00:09:44,C,28.3
2016-11-14 00:12:44,C,28.3
2016-11-14 00:15:44,C,28.3
2016-11-14 00:18:44,C,28.3
2016-11-14 00:21:44,C,28.1
2016-11-14 00:24:44,C,28.1
2016-11-14 00:27:44,C,28.1
2016-11-14 00:30:44,C,28.1
2016-11-14 00:33:44,C,28.1
2016-11-14 00:36:44,C,28.1
2016-11-14 00:39:44,C,28.4
2016-11-14 00:42:44,C,28.2
2016-11-14 00:45:44,C,28.2
2016-11-14 00:48:44,C,28.2
2016-11-14 00:51:44,C,28.2
2016-11-14 00:54:44,C,28.2
2016-11-14 00:57:44,C,28.2
2016-11-14 01:00:44,C,28.2
2016-11-14 01:03:44,C,28.2
2016-11-14 01:06:44,C,28.4
2016-11-14 01:09:44,C,28.4
2016-11-14 01:12:44,C,28.2
2016-11-14 01:15:44,C,28.2
2016-11-14 01:18:44,C,28.2
2016-11-14 01:21:44,C,28.2
2016-11-14 01:24:44,C,28.2
2016-11-14 01:27:44,C,28.2
2016-11-14 01:30:44,C,28.2
2016-11-14 01:33:44,C,28.2
2016-11-14 01:36:44,C,28.2
2016-11-14 01:39:44,C,28.2
2016-11-14 01:42:44,C,28.2
2016-11-14 01:45:44,C,28.2
2016-11-14 01:48:44,C,28.2
2016-11-14 01:51:44,C,28.2
2016-11-14 01:54:44,C,28.2
2016-11-14 01:57:44,C,28.2
2016-11-14 02:00:44,C,28.2
2016-11-14 02:03:44,C,28.2
2016-11-14 02:06:44,C,28.2
2016-11-14 02:09:44,C,28.2
2016-11-14 02:12:44,C,28.2
2016-11-14 02:15:44,C,28.2
2016-11-14 02:18:44,C,28.2
2016-11-14 02:21:44,C,28
2016-11-14 02:24:44,C,28.2
2016-11-14 02:27:44,C,28.2
2016-11-14 02:30:44,C,28.2
2016-11-14 02:33:44,C,28.2
2016-11-14 02:36:44,C,28.2
2016-11-14 02:39:44,C,28.2
2016-11-14 02:42:44,C,28.2
2016-11-14 02:45:44,C,28.2
2016-11-14 02:48:44,C,28.2
2016-11-14 02:51:44,C,28.2
2016-11-14 02:54:44,C,28.2
2016-11-14 02:57:44,C,28
2016-11-14 03:00:44,C,28.2
2016-11-14 03:03:44,C,28
2016-11-14 03:06:44,C,28
2016-11-14 03:09:44,C,28.1
2016-11-14 03:12:44,C,27.9
2016-11-14 03:15:44,C,28
2016-11-14 03:18:44,C,27.9
2016-11-14 03:21:44,C,27.9
2016-11-14 03:24:44,C,27.9
2016-11-14 03:27:44,C,28.1
2016-11-14 03:30:44,C,27.9
2016-11-14 03:33:44,C,27.9
2016-11-14 03:36:44,C,27.9
2016-11-14 03:39:44,C,27.9
2016-11-14 03:42:44,C,27.9
2016-11-14 03:45:44,C,27.9
2016-11-14 03:48:44,C,27.9
2016-11-14 03:51:44,C,27.9
2016-11-14 03:54:44,C,27.9
2016-11-14 03:57:44,C,27.8
2016-11-14 04:00:44,C,27.8
2016-11-14 04:03:44,C,27.8
2016-11-14 04:06:44,C,27.8
